date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,earnings_per_share,p_e_ratio,sma_50,next_close
2024-11-12,AAPL,224.23,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1267.1673099891423,226.7534,225.12
2024-11-13,AAPL,225.12,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1272.1968729641694,226.83880000000002,228.22
2024-11-14,AAPL,228.22,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1289.715575461455,226.95559999999998,225.0
2024-11-15,AAPL,225.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1271.5187296416939,227.0392,228.02
2024-11-18,AAPL,228.02,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1288.5853365906623,227.1814,228.28
2024-11-19,AAPL,228.28,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1290.0546471226928,227.3448,229.0
2024-11-20,AAPL,229.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1294.1235070575462,227.4716,228.52
2024-11-21,AAPL,228.52,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1291.4109337676439,227.5866,229.87
2024-11-22,AAPL,229.87,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1299.040046145494,227.734,232.87
2024-11-25,AAPL,232.87,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1315.9936292073833,228.065,235.06
2024-11-26,AAPL,235.06,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1328.3697448425626,228.43040000000002,234.93
2024-11-27,AAPL,234.93,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1327.6350895765472,228.7152,237.33
2024-11-29,AAPL,237.33,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1341.1979560260588,228.88440000000003,239.59
2024-12-02,AAPL,239.59,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1353.9696552660153,229.1122,242.65
2024-12-03,AAPL,242.65,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1371.2623099891423,229.43580000000003,243.01
2024-12-04,AAPL,243.01,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1373.296739956569,229.7486,243.04
2024-12-05,AAPL,243.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1373.466275787188,230.082,242.84
2024-12-06,AAPL,242.84,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1372.3360369163952,230.3884,246.75
2024-12-09,AAPL,246.75,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1394.432206840391,230.7676,247.77
2024-12-10,AAPL,247.77,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1400.1964250814333,231.063,246.49
2024-12-11,AAPL,246.49,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1392.9628963083605,231.4686,247.96
2024-12-12,AAPL,247.96,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1401.2701520086864,231.8922,248.13
2024-12-13,AAPL,248.13,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1402.23085504886,232.3414,251.04
2024-12-16,AAPL,251.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1418.6758306188924,232.8262,253.48
2024-12-17,AAPL,253.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1432.4647448425624,233.46200000000002,248.05
2024-12-18,AAPL,248.05,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1401.778759500543,233.90759999999997,249.79
2024-12-19,AAPL,249.79,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1411.6118376764387,234.31260000000003,254.49
2024-12-20,AAPL,254.49,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1438.1724511400653,234.8216,255.27
2024-12-23,AAPL,255.27,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1442.5803827361565,235.37599999999998,258.2
2024-12-24,AAPL,258.2,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1459.1383821932682,235.91400000000002,259.02
2024-12-26,AAPL,259.02,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1463.772361563518,236.41740000000001,255.59
2024-12-27,AAPL,255.59,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1444.3887649294245,236.8936,252.2
2024-12-30,AAPL,252.2,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1425.2312160694896,237.2946,250.42
2024-12-31,AAPL,250.42,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,584.2995474814203,237.60299999999998,243.85
2025-01-02,AAPL,243.85,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,568.9699091659785,237.7504,243.36
2025-01-03,AAPL,243.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,567.826602807597,237.90040000000002,245.0
2025-01-06,AAPL,245.0,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,571.6531791907514,238.1852,242.21
2025-01-07,AAPL,242.21,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,565.1433327828241,238.418,242.7
2025-01-08,AAPL,242.7,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,566.2866391412056,238.6438,236.85
2025-01-10,AAPL,236.85,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,552.6369611890999,238.71280000000002,234.4
2025-01-13,AAPL,234.4,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,546.9204293971924,238.72740000000002,233.28
2025-01-14,AAPL,233.28,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,544.3071577208918,238.79100000000003,237.87
2025-01-15,AAPL,237.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,555.0169050371594,239.0302,228.26
2025-01-16,AAPL,228.26,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,532.5941007431874,239.1372,229.98
2025-01-17,AAPL,229.98,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,536.6073393889347,239.2966,222.64
2025-01-21,AAPL,222.64,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,519.4810767960363,239.28040000000001,223.83
2025-01-22,AAPL,223.83,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,522.2576779521057,239.3026,223.66
2025-01-23,AAPL,223.66,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,521.8610206440958,239.22620000000003,222.78
2025-01-24,AAPL,222.78,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,519.8077357555738,239.1426,229.86
2025-01-27,AAPL,229.86,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,536.3273459950454,239.2552,238.26
2025-01-28,AAPL,238.26,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,555.9268835672997,239.53580000000002,239.36
